source,translationable_id,text
United Nations Economic and Social Commission for Asia and the Pacific (Narrative Submission UN Organizations),13254,PBB Komisi Ekonomi dan Sosial untuk Asia dan Pasifik (Narasi Submission Organisasi PBB)
national plastic pollution assessments using a common methodology,13307,penilaian polusi plastik nasional menggunakan metodologi umum
Awareness rasing and collarboration with actors,13360,Kesadaran Rasing dan collarboration dengan aktor
Coastal Cleanup Week,13413,Minggu Cleanup pesisir
Redeco,13466,redeco
Diploma in waste and solid waste management,13519,Diploma dalam limbah dan pengelolaan limbah padat
Trinidad and Tobago (Member State Narrative Submission),13572,Trinidad dan Tobago (Anggota Negara Narasi Submission)
Singapore (Member State Narrative Submission),13625,Singapura (Anggota Negara Narasi Submission)
National Geographic Society (Narrative Submission Major Group and Stakeholders),13678,National Geographic Society (Narasi Submission Major Group dan Pemangku Kepentingan)
Taupo District Council Narrative Submission (New Zealand),13731,Taupo Dewan Distrik Narasi Submission (Selandia Baru)
"Caribbean Environment Programme (UNEP CEP) Secretariat to the Cartagena Convention based in Kingston, Jamaica (Narrative Submission UN Organizations)",13784,"Program Lingkungan Karibia (UNEP CEP) Sekretariat Konvensi Cartagena berbasis di Kingston, Jamaika (Narasi Submission Organisasi PBB)"
Reducing UPOPs and Mercury Releases from Health Sector in Africa,13837,Mengurangi UPOPs dan Pers Mercury dari Sektor Kesehatan di Afrika
Romania (Member State Narrative Submission),13890,Rumania (Anggota Negara Narasi Submission)
Brazillian Plastic Industry Association – ABIPLAST (Narrative Submission Major Group and Stakeholders),13943,Brazillian Plastik Asosiasi Industri - ABIPLAST (Narasi Submission Major Group dan Pemangku Kepentingan)
Cameroon and ICENECDEV(International Centre for Environmental Education and Community Development) (Narrative Submission Major Group and Stakeholders),13996,Kamerun dan ICENECDEV (International Pusat Pendidikan Lingkungan dan Pengembangan Masyarakat) (Narasi Penyampaian Major Group dan Pemangku Kepentingan)
Cristalcopo Descartaveis S/A (Narrative Submission Major Group and Stakeholders),14049,Cristalcopo Descartaveis S / A (Narasi Submission Major Group dan Pemangku Kepentingan)
Environmental Waste Collection System,14102,Sistem Koleksi Limbah Lingkungan
Beverage Containers Bill,14155,Minuman Kontainer Bill
WasteWise ,14208,WasteWise
Cook Islands -  Hakono Hararanga Incorporated (Narrative Submission Major Group and Stakeholders),14261,Kepulauan Cook - Hakono Hararanga Incorporated di (Narasi Submission Major Group dan Pemangku Kepentingan)
environmental protection awarenesse programme for school children,14314,Program awarenesse perlindungan lingkungan untuk anak-anak sekolah
Limpeza de praias,14367,Limpeza de Praias
Sustainable procurement case studies on plastic and procurement guidance,14420,studi kasus pengadaan berkelanjutan pada bimbingan plastik dan pengadaan
Canada (Member State Narrative Submission),14473,Kanada (Anggota Negara Narasi Submission)
Marine Environment  Planning and Management,14526,Kelautan Perencanaan dan Manajemen Lingkungan
Reduce Marine Litter & Microplastic,14579,Mengurangi Kelautan Litter & Microplastic
Beach Cleanups,14632,pantai pembersihan
Grant Programme,14685,Program hibah
Training of Trainers on monitoring and assessment of marine litter and microplastics,14738,Pelatihan untuk Pelatih pada pemantauan dan penilaian sampah laut dan microplastics
"Project ""Building knowledge to combat marine litter: the plan of monitoring and assessment of marine litter of São Paulo state, Brazil""",14791,"Proyek ""Membangun pengetahuan untuk memerangi sampah laut: rencana pemantauan dan penilaian sampah laut negara bagian São Paulo, Brasil"""
"Nuclear and Energy Research Institute, São Paulo, São Paulo State University, São Vicente, Brazil University of Santa Cecília, Santos, Brazil (Narrative Submission Major Group and Stakeholders)",14844,"Nuklir dan Energi Research Institute, São Paulo, São Paulo State University, São Vicente, Brazil Universitas Santa Cecília, Santos, Brasil (Narasi Submission Major Group dan Pemangku Kepentingan)"
Marine Plastic litter,14897,sampah laut Plastik
New Zealand Plastic bag ban,14950,Selandia Baru Plastic bag larangan
“Reducing Ocean Plastic Pollution” Request for Proposal (RFP) Funding Opportunity,15003,“Mengurangi Samudra Pencemaran Plastik” Permintaan Proposal (RFP) Peluang Pendanaan
Plastics Sectoral Forum – For a Clean Ocean,15056,Plastik sektoral Forum - Untuk Samudera Bersih
Trinidad and Tobago Styrofoam Ban,15109,Trinidad dan Tobago Styrofoam Ban
California Ocean Litter Prevention Strategy,15162,Strategi Pencegahan California Samudra Litter
Survey of polystyrene foam (EPS and XPS) in the Baltic Sea,15215,Survei busa polystyrene (EPS dan XPS) di Laut Baltik
